date,day,stage,GDD,daily_GDD,LAI,dry_matter_total,dry_matter_leaf,dry_matter_stem,dry_matter_fruit,dry_matter_root,fruit_set_rate,soil_EC,soil_water_content,water_uptake,daily_K_uptake,accumulated_K,gray_mold_risk,whitefly_population,alerts
2025-09-01,1,seedling,8.75660746121755,8.75660746121755,0.10832870676749587,0.0,0.0,0.0,0.0,0.0,0.0,2.4645703726647508,0.7481559006197095,0.18440993802904904,0.2393657155677486,0.2393657155677486,7.266633246958523,2.8637516082315133,[]
2025-09-02,2,seedling,16.818903441972786,8.062295980755236,0.11735108709918103,0.0,0.0,0.0,0.0,0.0,0.0,2.7637190294608374,0.8466094192014424,0.15464814182671924,0.12000680166294085,0.35937251723068947,10.806134248460289,0.8201073273648578,[]
2025-09-03,3,seedling,26.99013762327464,10.171234181301855,0.1271249150321405,0.0,0.0,0.0,0.0,0.0,0.0,3.050983529722528,0.9457863347603741,0.08230844410683254,0.11649294894430413,0.4758654661749936,11.952224825424864,0.7828612258878532,[]
2025-09-04,4,seedling,36.93327342361169,9.943135800337044,0.13771277643359572,0.0,0.0,0.0,0.0,0.0,0.0,3.322922751038206,1.0,0.0903250074033831,0.1203942679001365,0.5962597340751301,8.812169076231074,0.7473066982194778,[]
2025-09-05,5,seedling,46.97181826665852,10.038544843046829,0.14918246976412705,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.09492963303085447,0.12272727272727271,0.7189870068024028,5.411653343219355,0.7133669196227372,[]
2025-09-06,6,seedling,58.0589176258108,11.087099359152285,0.16160744021928936,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.09277808862951291,0.12272727272727271,0.8417142795296755,4.360540643742733,0.6809685544429248,[]
2025-09-07,7,seedling,69.14910074517752,11.090183119366724,0.17506725002961013,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.10644088801800297,0.12272727272727271,0.9644415522569482,4.485278076581609,0.6500415976470049,[]
2025-09-08,8,seedling,79.98427414795748,10.835173402779963,0.18964808793049515,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.11530603746174105,0.12272727272727271,1.0871688249842208,5.385175889423315,0.620519223559664,[]
2025-09-09,9,seedling,90.27231684488441,10.288042696926931,0.20544332106438878,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.1249095392071484,0.12272727272727271,1.2098960977114936,14.384710031360532,0.5923376414691859,[]
2025-09-10,10,seedling,100.87125746029201,10.598940615407606,0.2225540928492468,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.12549259220588796,0.12272727272727271,1.3326233704387664,10.828074821488919,0.5654359577911475,[]
2025-09-11,11,seedling,110.07923834553563,9.207980885243611,0.241089970641721,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.14360903972579458,0.12272727272727271,1.4553506431660392,7.15414660931674,0.5397560444921082,[]
2025-09-12,12,seedling,119.71958019244073,9.640341846905107,0.2611696473423118,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.15858323427933324,0.12272727272727271,1.578077915893312,6.737806809988374,0.515242413488985,[]
2025-09-13,13,seedling,128.93497113980723,9.21539094736651,0.282921701435156,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.17201639447257486,0.12272727272727271,1.7008051886205848,7.077586817607176,0.4918420967527224,[]
2025-09-14,14,seedling,136.9117039960673,7.976732856260076,0.30648542032930026,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.1620975136378218,0.12272727272727271,1.8235324613478576,7.917298066823856,0.14085135955715683,[]
2025-09-15,15,seedling,143.8745921216547,6.962888125587389,0.33201169227365473,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.17577862325768023,0.12272727272727271,1.9462597340751304,8.112893771278742,0.0403363307453403,[]
2025-09-16,16,seedling,152.2495835527865,8.374991431131798,0.35966397255692817,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.15308201180150247,0.12272727272727271,2.068987006802403,8.88025867332677,0.01155132320421265,[]
2025-09-17,17,seedling,158.71441698751215,6.464833434725649,0.3896193301795215,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.17667109232082961,0.12272727272727271,2.1917142795296756,21.021154648205908,0.0033080120403265975,[]
2025-09-18,18,seedling,165.8040556425665,7.089638655054355,0.42206958169965525,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.18147497700769039,0.12272727272727271,2.314441552256948,9.298149926359445,0.0009473324800534503,[]
2025-09-19,19,seedling,172.11464026214696,6.310584619580457,0.4572225195142159,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.20687889219608044,0.12272727272727271,2.4371688249842207,8.66194380022021,0.0002712924913283016,[]
2025-09-20,20,seedling,176.74379671420817,4.629156452061222,0.4953032424395115,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.1471140374882634,0.12272727272727271,2.5598960977114933,8.023321420609237,7.769143083425575e-05,[]
2025-09-21,21,seedling,183.7186816631073,6.974884948899144,0.5365555971121975,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.1838227097785843,0.12272727272727271,2.682623370438766,7.2615567639074,2.2248895999740725e-05,[]
2025-09-22,22,seedling,189.80800869651478,6.089327033407468,0.5812437394402589,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.17693982864576868,0.12272727272727271,2.8053506431660384,9.025296652461373,6.3715311700633175e-06,[]
2025-09-23,23,seedling,194.64902047456954,4.841011778054772,0.6296538261026657,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.15256426437197151,0.12272727272727271,2.928077915893311,8.258319603813122,1.8246482635166038e-06,[]
2025-09-24,24,seedling,199.28473540572537,4.635714931155844,0.682095846929075,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.18786550170507005,0.12272727272727271,3.0508051886205836,9.94558258695017,5.225339399102513e-07,[]
2025-09-25,25,seedling,204.67248442493053,5.38774901920516,0.7389056098930651,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.21509266613690728,0.12272727272727271,3.173532461347856,9.582588247750461,1.496407410773531e-07,[]
2025-09-26,26,seedling,210.96761526127327,6.295130836342739,0.8004468914296354,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.2840998104789542,0.12272727272727271,3.2962597340751287,7.604692168900787,4.2853391291722537e-08,[]
2025-09-27,27,seedling,215.77427595739016,4.806660696116888,0.8671137658463457,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,0.30185354823372573,0.12272727272727271,3.4189870068024013,8.559432202173172,1.2272146822984473e-08,[]
2025-09-28,28,seedling,221.98900085972994,6.214724902339788,0.9393331287442784,0.00884073618056469,0.003536294472225876,0.002652220854169407,0.0,0.002652220854169407,0.0,3.5,1.0,0.45063354916019555,0.12272727272727271,3.541714279529674,6.947049947418307,3.514438020077504e-09,[]
2025-09-29,29,seedling,228.83560957688798,6.846608717158023,1.0175674306073332,0.04072388656289494,0.016289554625157975,0.012217165968868482,0.0,0.012217165968868482,0.0,3.5,1.0,0.4457508925704804,0.12272727272727271,3.6644415522569465,8.787472195814383,1.0064477532026927e-09,[]
2025-09-30,30,seedling,236.29493726144895,7.459327684560976,1.1023176380641602,0.04072388656289494,0.016289554625157975,0.012217165968868482,0.0,0.012217165968868482,0.0,3.5,1.0,0.451494601480707,0.12272727272727271,3.787168824984219,12.78703458126096,2.8822163718352046e-10,[]
2025-10-01,31,seedling,244.04498641016977,7.750049148720817,1.1941264417849105,0.04072388656289494,0.016289554625157975,0.012217165968868482,0.0,0.012217165968868482,0.0,3.5,1.0,0.499782721254598,0.12272727272727271,3.9098960977114916,20.96477703273305,8.253951770114264e-11,[]
2025-10-02,32,seedling,254.05844111161846,10.013454701448707,1.2935817315543077,0.04072388656289494,0.016289554625157975,0.012217165968868482,0.0,0.012217165968868482,0.0,3.5,1.0,0.7149095292949312,0.12272727272727271,4.032623370438764,6.2925318678612125,7.879089218643356e-11,[]
2025-10-03,33,seedling,262.815360361605,8.756919249986492,1.4013203607733615,0.04072388656289494,0.016289554625157975,0.012217165968868482,0.0,0.012217165968868482,0.0,3.5,1.0,0.6715162403906061,0.12272727272727271,4.155350643166037,7.728047345626323,2.2563754421289487e-11,[]
2025-10-04,34,seedling,271.7294732096194,8.914112848014446,1.5,1.8305366168515471,0.732214646740619,0.5491609850554641,0.0,0.5491609850554641,0.0,3.5,1.0,0.8758946913271501,0.12272727272727271,4.27807791589331,6.270932917045375,6.461698801170869e-12,[]
2025-10-05,35,seedling,282.36199894514584,10.6325257355264,1.5,2.4281794690246885,0.9712717876098755,0.7284538407074065,0.0,0.7284538407074065,0.0,3.5,1.0,0.9120000000000001,0.12272727272727271,4.400805188620583,4.6565757192059145,6.168233444586906e-12,[]
2025-10-06,36,seedling,291.4320594459483,9.07006050080249,1.5,3.2570418681278808,1.3028167472511525,0.9771125604383641,0.0,0.9771125604383641,0.0,3.5,1.0,0.8460960238700768,0.12272727272727271,4.523532461347856,7.613128383353582,1.7664288446883156e-12,[]
2025-10-07,37,seedling,302.8906045878549,11.45854514190661,1.5,3.2570418681278808,1.3028167472511525,0.9771125604383641,0.0,0.9771125604383641,0.0,3.5,1.0,0.7743623662659568,0.12272727272727271,4.646259734075129,7.357291584890099,1.6862044816008993e-12,[]
2025-10-08,38,seedling,312.322535741279,9.43193115342411,1.5,8.348833634051415,3.3395334536205663,2.5046500902154243,0.0,2.5046500902154243,0.0,3.5,1.0,0.8783725061749231,0.12272727272727271,4.768987006802402,9.05382086751338,1.6096235986639202e-12,[]
2025-10-09,39,seedling,321.4242281541076,9.101692412828598,1.5,9.682060597678763,3.8728242390715057,2.904618179303629,0.0,2.904618179303629,0.0,3.5,1.0,0.9020647846666592,0.12272727272727271,4.891714279529675,7.931804442431642,4.609562169321197e-13,[]
2025-10-10,40,seedling,332.3182500530556,10.894021898947997,1.5,13.008543989058316,5.203417595623327,3.902563196717494,0.0,3.902563196717494,0.0,3.5,1.0,0.9120000000000001,0.12272727272727271,5.014441552256948,5.015459555216788,4.400213691878907e-13,[]
